UF,Total Inscritos,Regiao,Total Presentes,Total Homens Inscritos,Total Mulheres Inscritas,Total Homens Presentes,Total Mulheres Presentes,Percentual de Presentes,Total Inscritos Raça Não Declarada,Total Inscritos Raça Branca,Total Inscritos Raça Preta,Total Inscritos Raça Parda,Total Inscritos Raça Amarela,Total Inscritos Raça Indígena,Inscritos menores de 17 anos,Inscritos com 17 anos,Inscritos com 18 anos,Inscritos com 19 anos,Inscritos com 20 anos,Inscritos com 21 anos,Inscritos com 22 anos,Inscritos com 23 anos,Inscritos com 24 anos,Inscritos com 25 anos,Inscritos entre 26 e 30 anos,Inscritos entre 31 e 35 anos,Inscritos entre 36 e 40 anos,Inscritos entre 41 e 45 anos,Inscritos entre 46 e 50 anos,Inscritos entre 51 e 55 anos,Inscritos entre 56 e 60 anos,Inscritos entre 61 e 65 anos,Inscritos entre 66 e 70 anos,Inscritos maiores de 70 anos,Inscritos Não Declarados,Inscritos Brasileiros,Inscritos Brasileiros Naturalizados,Inscritos Estrangeiros,Inscritos Brasileiros Natos Nascidos no Exterior,Nota Média Redação Mulheres,Nota Média Redação Homens,Nota Média Redação,Nota Média Redação Escola Urbana,Nota Média Redação Escola Rural,Nota Média  Ciências da Natureza,Nota Média  Ciências Humanas,Nota Média  Linguagens e Códigos,Nota Média  Matemática,Nota Máxima  Ciências da Natureza,Nota Máxima  Ciências Humanas,Nota Máxima  Linguagens e Códigos,Nota Máxima  Matemática,Nota Máxima Redação
DF,72975,Centro-Oeste,50267,28782,44193,19719,30548,68.88,1171,29224,10126,30989,1230,235,5511,13132,16435,7789,4993,3398,2492,2023,1655,1437,4776,2821,2224,1753,1181,708,402,151,65,29,32,71637,1083,104,119,656.83,614.43,640.19,663.49,658.68,513.86,545.96,539.5,554.83,868.4,823.0,798.6,958.6,1000.0
RS,159919,Sul,110735,59692,100227,41633,69102,69.24,2087,123342,11747,21877,541,325,9864,27416,39991,19049,11647,8034,5688,4698,4029,3109,10035,5459,3923,2900,1807,1171,664,304,96,35,41,156812,2520,344,202,658.71,608.47,639.82,668.49,617.9,508.91,542.74,538.34,558.02,856.7,823.0,788.8,958.6,1000.0
CE,241960,Nordeste,173700,106239,135721,74852,98848,71.79,5198,68394,18850,145144,3086,1288,23849,52271,64975,25819,14477,9475,6740,5398,4371,3462,12611,6763,4819,3030,1816,1084,615,248,99,38,171,237830,3571,201,187,645.33,582.05,618.06,582.35,504.7,482.8,511.58,508.89,523.33,856.7,823.0,801.1,958.6,1000.0
BA,324268,Nordeste,220257,113310,210958,77583,142674,67.92,4325,64453,91485,156217,5511,2277,25344,47094,58859,39610,27367,20357,15392,12445,9869,7580,24223,12151,9575,6592,3771,2171,1159,449,191,69,182,315972,7471,184,459,624.37,593.87,613.63,663.01,598.77,483.52,513.25,506.81,506.01,854.7,823.0,790.8,958.6,1000.0
PE,218859,Nordeste,152574,86048,132811,59547,93027,69.71,2847,73027,28271,107981,3608,3125,22875,40439,46108,23900,15232,10384,7992,6277,5227,4178,13932,7625,5595,3935,2436,1486,762,322,120,34,133,213591,4720,103,312,638.27,590.1,619.47,646.27,595.62,487.76,515.43,512.4,526.62,868.4,823.0,782.0,958.6,1000.0
MG,358575,Sudeste,250015,134275,224300,93446,156569,69.72,4728,159978,48946,139341,4603,979,33053,64291,83349,40209,25520,17506,13216,10645,8386,6707,21811,11683,7910,5744,3734,2425,1447,569,246,124,117,350389,6534,439,1096,677.67,636.78,662.39,698.55,704.89,514.65,545.7,535.37,567.59,868.4,823.0,791.2,958.6,1000.0
SP,590767,Sudeste,409480,230992,359775,160510,248970,69.31,5500,349065,61038,161105,12253,1806,53711,144489,170931,58490,31201,20223,14949,12425,10168,8135,25932,13339,9549,7029,4421,2953,1670,751,282,119,282,578514,8084,2012,1875,664.59,614.88,645.11,654.53,613.93,515.63,548.66,542.82,572.39,868.4,823.0,820.8,958.6,1000.0
RN,100706,Nordeste,72805,41372,59334,29937,42868,72.29,1237,40549,9981,46997,1561,381,5395,12185,17230,12089,8738,6315,4945,3965,3279,2761,9449,5188,3820,2520,1369,788,416,175,59,20,23,98725,1796,52,110,638.4,607.71,625.78,681.02,655.42,493.44,523.38,516.74,525.36,856.7,805.1,778.4,958.6,1000.0
PR,166506,Sul,114776,64841,101665,44414,70362,68.93,2109,110275,8674,41760,3271,417,19189,52054,36749,14411,8048,5485,4051,3269,2763,2185,7673,4065,2643,1767,1074,593,289,136,44,18,109,161571,3185,822,819,637.86,582.02,616.25,621.37,550.63,507.34,539.37,534.07,553.3,868.4,823.0,779.4,958.6,980.0
PA,229162,Norte,153293,86142,143020,57992,95301,66.89,3315,47160,29192,144411,3836,1248,18367,31109,38670,25967,18385,12875,10131,7988,6750,5536,20437,11888,8591,5814,3461,1870,856,289,134,44,144,224055,4520,127,316,605.11,574.75,593.63,642.22,531.53,472.15,500.21,493.16,484.25,854.7,823.0,758.6,958.6,1000.0
